Ticker,Full Name,ROIC History,ROIC Changes,ROIC Power
CMG,"Chipotle Mexican Grill, Inc.","[np.float64(0.39722393691621233), np.float64(0.3806198250991001), np.float64(0.35271647826698843), np.float64(0.2538406764182026)]","[-0.016604111817112244, -0.027903346832111653, -0.0988758018487858]",27.462450167060705
CHD,"Church & Dwight Co., Inc.","[np.float64(0.1421776736484225), np.float64(0.20036381551521582), np.float64(0.12790722553865247), np.float64(0.20328159143998192)]","[0.05818614186679333, -0.07245658997656335, 0.07537436590132945]",15.149013331707806
CTAS,Cintas Corporation,"[np.float64(0.37284442065968576), np.float64(0.33664274923672366), np.float64(0.3538765241316925), np.float64(0.3348114756829975)]","[-0.0362016714229621, 0.017233774894968856, -0.019065048448695]",44.888177999993935
CSCO,"Cisco Systems, Inc.","[np.float64(0.14357747201093923), np.float64(0.14157204123615486), np.float64(0.1986598292405699), np.float64(0.21355082323085625)]","[-0.002005430774784378, 0.05708778800441505, 0.014890993990286344]",40.240128782133
CLX,The Clorox Company,"[np.float64(0.005414410662224073), np.float64(-0.008712487899322363), np.float64(-0.00824295010845987), np.float64(-0.002785515320334262)]","[-0.014126898561546437, 0.0004695377908624926, 0.005457434788125609]",120.33923953397684
CME,CME Group Inc.,"[np.float64(0.03052387873367246), np.float64(0.028593947141520772), np.float64(0.01832636349384017), np.float64(0.014085369522629936)]","[-0.001929931592151688, -0.010267583647680604, -0.004240993971210232]",284.52034180874625
CMS,CMS Energy Corporation,"[np.float64(0.12119977178254136), np.float64(0.11206896551724138), np.float64(0.11568998109640832), np.float64(0.12201873935264054)]","[-0.009130806265299982, 0.003621015579166942, 0.00632875825623222]",148.3515224064255
KO,The Coca-Cola Company,"[np.float64(0.19356463454795528), np.float64(0.2215627509745157), np.float64(0.23949506037321625), np.float64(0.23003793796027672)]","[0.027998116426560415, 0.017932309398700552, -0.009457122412939528]",63.18385463056165
CTSH,Cognizant Technology Solutions Corporation,"[np.float64(0.16072917245595508), np.float64(0.1623792270531401), np.float64(0.18957588145120083), np.float64(0.18208762886597937)]","[0.0016500545971850078, 0.027196654398060738, -0.007488252585221455]",68.12588726714056
COIN,"Coinbase Global, Inc.","[np.float64(0.1266406567248661), np.float64(-0.013738908556397327), np.float64(-0.031415471337900784), np.float64(0.1728339813594099)]","[-0.14037956528126344, -0.01767656278150346, 0.20424945269731068]",7.011406390566143
CL,Colgate-Palmolive Company,"[np.float64(0.6771378708551483), np.float64(0.6991926991926992), np.float64(0.6014553014553015), np.float64(0.6634806849860613)]","[0.022054828337550902, -0.09773739773739776, 0.062025383530759814]",14.73139678248033
CMCSA,Comcast Corporation,"[np.float64(0.1851098486353343), np.float64(0.1885254518254963), np.float64(0.12773254491698885), np.float64(0.16345391301616716)]","[0.0034156031901619865, -0.060792906908507444, 0.03572136809917831]",24.92963801466654
CAG,"Conagra Brands, Inc.","[np.float64(0.10299101111723284), np.float64(0.07255958002569535), np.float64(0.08116696859903381)]","[-0.030431431091537495, 0.008607388573338468]",51.23105711619252
COP,ConocoPhillips,"[np.float64(-0.001703068122724909), np.float64(0.0011976249915660211), np.float64(0.001725554642563681), np.float64(0.0004875755306737249)]","[0.00290069311429093, 0.00052792965099766, -0.0012379791118899562]",589.7444859308982
ED,"Consolidated Edison, Inc.","[np.float64(0.09403063919704173), np.float64(0.11571325126719768), np.float64(0.08142746314972847), np.float64(0.1096921942320382)]","[0.021682612070155954, -0.03428578811746921, 0.02826473108230973]",35.63268666018362
STZ,"Constellation Brands, Inc.","[np.float64(0.031772605192479854), np.float64(0.2400142356299645), np.float64(0.24293722547896976), np.float64(0.15811780342587445)]","[0.20824163043748464, 0.0029229898490052697, -0.08481942205309531]",8.14270166545177
CEG,Constellation Energy Corporation,"[np.float64(0.21349031150355655), np.float64(0.09145129224652088), np.float64(0.025766487949612202), np.float64(-0.017644059153493114)]","[-0.12203901925703567, -0.06568480429690868, -0.04341054710310532]",30.22084994997846
COO,"The Cooper Companies, Inc.","[np.float64(0.0774949486075727), np.float64(0.06257042253521126), np.float64(0.06003619203065678), np.float64(0.06591000899128237)]","[-0.01492452607236143, -0.002534230504554487, 0.00587381696062559]",117.06023479535283
CPRT,"Copart, Inc.","[np.float64(0.17154515340157472), np.float64(0.19224648965736355), np.float64(0.22940139739320137), np.float64(0.27139055693016545)]","[0.02070133625578882, 0.03715490773583782, 0.04198915953696408]",109.74505812254385
GLW,Corning Incorporated,"[np.float64(0.07098630308336981), np.float64(0.05498239327855687), np.float64(0.08240687679083095), np.float64(0.12172209094576682)]","[-0.016003909804812942, 0.027424483512274077, 0.03931521415493587]",42.059480976058154
CPAY,"Corpay, Inc.","[np.float64(0.15076569930326553), np.float64(0.16391518020378087), np.float64(0.1685089997050652), np.float64(0.1523313118622678)]","[0.013149480900515348, 0.004593819501284319, -0.016177687842797384]",81.20759756432886
CTVA,"Corteva, Inc.","[np.float64(-0.005230125523012552), np.float64(-0.010255548083389375), np.float64(0.00019291718340912222), np.float64(0.03666751939967596)]","[-0.005025422560376823, 0.010448465266798497, 0.03647460221626684]",58.39789504381565
CSGP,"CoStar Group, Inc.","[np.float64(0.0005798317254311728), np.float64(0.03621831058195628), np.float64(0.06226959559280379), np.float64(0.07145028205754995)]","[0.03563847885652511, 0.02605128501084751, 0.009180686464746166]",91.43341204527063
COST,Costco Wholesale Corporation,"[np.float64(0.15714382425616896), np.float64(0.13836735389914906), np.float64(0.14802925254060215), np.float64(0.1411645867968602)]","[-0.018776470357019903, 0.009661898641453087, -0.006864665743741949]",85.75772685150996
CTRA,Coterra Energy Inc.,"[np.float64(0.09741899284612147), np.float64(0.1465405809919042), np.float64(0.3760467802483396), np.float64(0.12069763852446365)]","[0.04912158814578273, 0.2295061992564354, -0.25534914172387596]",4.997739485638008
CRWD,"CrowdStrike Holdings, Inc.","[np.float64(-0.01776262332840263), np.float64(-0.0003962761562126567), np.float64(-0.05286019264252583), np.float64(-0.058314409690759524)]","[0.01736634717218997, -0.05246391648631318, -0.005454217048233692]",34.39662334383033
CCI,Crown Castle Inc.,"[np.float64(-1.4373776908023483), np.float64(0.2642203881329467), np.float64(0.2382121807465619), np.float64(0.19457409568261377)]","[1.701598078935295, -0.02600820738638479, -0.04363808506394812]",1.2216150754744206
CSX,CSX Corporation,"[np.float64(0.33231958436292214), np.float64(0.361586007364545), np.float64(0.3944091149973503), np.float64(0.3555583804741626)]","[0.029266423001622854, 0.032823107632805326, -0.03885073452318771]",30.320457270483963
CMI,Cummins Inc.,"[np.float64(0.1663561352142667), np.float64(0.07721313631779717), np.float64(0.13531368382149128), np.float64(0.16414922656960873)]","[-0.08914299889646954, 0.05810054750369412, 0.02883554274811745]",15.712182545049549
CVS,CVS Health Corporation,"[np.float64(0.0531124679585129), np.float64(0.08819509064655864), np.float64(0.056335434520858416), np.float64(0.09295471687571584)]","[0.035082622688045746, -0.03185965612570023, 0.036619282354857424]",31.32316769631711
DHR,Danaher Corporation,"[np.float64(0.08630297437353589), np.float64(0.08422381970079658), np.float64(0.12886677268763147), np.float64(0.11960537914736388)]","[-0.0020791546727393084, 0.04464295298683489, -0.009261393540267587]",41.84373718196472
DRI,"Darden Restaurants, Inc.","[np.float64(0.29882863911555674), np.float64(0.2963246899661781), np.float64(0.29036700572615914), np.float64(0.2872679635168203)]","[-0.002503949149378626, -0.005957684240018968, -0.0030990422093388204]",663.3296501205501
DDOG,"Datadog, Inc.","[np.float64(0.011859973485255653), np.float64(-0.011050037544503611), np.float64(-0.027045233896693152), np.float64(-0.012202058858563512)]","[-0.022910011029759265, -0.01599519635218954, 0.01484317503812964]",60.931790509308904
DVA,DaVita Inc.,"[np.float64(0.412750572040813), np.float64(0.2976074557836468), np.float64(0.27640602929437985), np.float64(0.3768456024755567)]","[-0.11514311625716622, -0.021201426489266928, 0.10043957318117686]",11.331048108063696
DAY,Dayforce Inc,"[np.float64(0.013242421544058719), np.float64(0.0172117262158772), np.float64(-0.0035887164079452514), np.float64(-0.005946996348041679)]","[0.003969304671818483, -0.020800442623822454, -0.002358279940096428]",95.16896410979058
DECK,Deckers Outdoor Corporation,"[np.float64(0.359155809067078), np.float64(0.3280377695748942), np.float64(0.28843058212294304), np.float64(0.27142732860083757)]","[-0.03111803949218378, -0.03960718745195119, -0.017003253522105466]",107.2639637840343
